title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 512GB Midnight (MPWW3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-512gb-midnight/p71419369/,False,iPhone 14 ,512GB,Midnight,MPWW3RX/A
iPhone 14 Pro Max 512GB Space Black (MQAF3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-512gb-space-black/p71419413/,False,iPhone 14 Pro Max,512GB,Space Black,MQAF3RX/A
iPhone 14 Pro Max 1TB Deep Purple (MQC53RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-1tb-deep-purple/p71419420/,False,iPhone 14 Pro Max,1TB,Deep Purple,MQC53RX/A
iPhone 14 Plus 256GB (PRODUCT)RED (MQ573RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-256gb-product-red/p71419382/,False,iPhone 14 Plus,256GB,(PRODUCT)RED,MQ573RX/A
iPhone 13 Pro Max 256GB Graphite (MLLA3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-max-256gb-graphite/p71357118/,False,iPhone 13 Pro Max,256GB,Graphite,MLLA3
iPhone 11 128GB Black (MHDH3FS/A),23999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-11-128-gb-black/p71273815/,True,iPhone 11 ,128GB,Black,MHDH3FS/A
iPhone 13 128GB Starlight (MLPG3),31999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-128gb-starlight/p71357067/,True,iPhone 13 ,128GB,Starlight,MLPG3
iPhone 14 Pro 1TB Space Black (MQ2G3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-1tb-space-black/p71419401/,False,iPhone 14 Pro,1TB,Space Black,MQ2G3RX/A
iPhone 14 Pro Max 512GB Silver (MQAH3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-512gb-silver/p71419414/,False,iPhone 14 Pro Max,512GB,Silver,MQAH3RX/A
iPhone 14 Pro 512GB Gold (MQ233RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-512gb-gold/p71419399/,False,iPhone 14 Pro,512GB,Gold,MQ233RX/A
iPhone 15 Pro Max 256GB Natural Titanium (MU793RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-max-256gb-natural-titanium-mu793rx/p71465495/,False,iPhone 15 Pro Max,256GB,Natural Titanium,MU793RX/A
iPhone 14 Pro 1TB Gold (MQ2V3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-1tb-gold/p71419403/,False,iPhone 14 Pro,1TB,Gold,MQ2V3RX/A
iPhone 13 128GB Midnight (MLPF3),31999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-128gb-midnight/p71357065/,True,iPhone 13 ,128GB,Midnight,MLPF3
iPhone 15 Pro Max 256GB Black Titanium (MU773RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-15-pro-max-256gb-black-titanium-mu773rx/p71465493/,False,iPhone 15 Pro Max,256GB,Black Titanium,MU773RX/A
iPhone 12 Mini 256GB Product Red (MGEC3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-mini-256-gb-product-red/p71300676/,False,iPhone 12 Mini,256GB,Product Red,MGEC3FS/A
iPhone 12 Mini 256GB Black (MGE93FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-mini-256-gb-black/p71300674/,False,iPhone 12 Mini,256GB,Black,MGE93FS/A
iPhone 11 128GB White (MHDJ3FS/A),23999.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-11-128gb-white-mhdj3fs-a-/p71311122/,True,iPhone 11 ,128GB,White,MHDJ3FS/A
iPhone 12 Mini 256GB Blue (MGED3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-mini-256-gb-blue/p71300675/,False,iPhone 12 Mini,256GB,Blue,MGED3FS/A
iPhone 14 Pro 1TB Deep Purple (MQ323RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-1tb-deep-purple/p71419404/,False,iPhone 14 Pro,1TB,Deep Purple,MQ323RX/A
iPhone 13 Pro Max 256GB Silver (MLLC3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-max-256gb-silver/p71357120/,False,iPhone 13 Pro Max,256GB,Silver,MLLC3
iPhone 14 Pro 128GB Silver (MQ023RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-128gb-silver/p71419390/,False,iPhone 14 Pro,128GB,Silver,MQ023RX/A
iPhone 12 64GB Purple (DEMO),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-12-64gb-purple-demo/p71349182/,False,iPhone 12 ,64GB,Purple,DEMO
iPhone 12 64GB Product Red (MGJ73FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-64-gb-product-red/p71300681/,False,iPhone 12 ,64GB,Product Red,MGJ73FS/A
iPhone 14 Pro Max 1TB Gold (MQC43RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-1tb-gold/p71419419/,False,iPhone 14 Pro Max,1TB,Gold,MQC43RX/A
iPhone 12 Mini 64GB Purple (DEMO),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-12-mini-64gb-purple-demo/p71338592/,False,iPhone 12 Mini,64GB,Purple,DEMO
iPhone 14 256GB Midnight (MPVX3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-256gb-midnight/p71419364/,False,iPhone 14 ,256GB,Midnight,MPVX3RX/A
iPhone 13 mini 512GB PRODUCT(RED) (MLKE3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-mini-512gb-productred/p71357097/,False,iPhone 13 mini,512GB,PRODUCT,MLKE3
iPhone 13 mini 512GB Starlight (MLKC3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-mini-512gb-starlight/p71357095/,False,iPhone 13 mini,512GB,Starlight,MLKC3
iPhone 13 Pro Max 1TB Sierra Blue (MLLN3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-max-1tb-sierra-blue/p71356700/,False,iPhone 13 Pro Max,1TB,Sierra Blue,MLLN3
iPhone 14 Pro Max 256GB Silver (MQ9V3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-256gb-silver/p71419410/,False,iPhone 14 Pro Max,256GB,Silver,MQ9V3RX/A
iPhone 12 256GB Black (MGJG3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-256-gb-black/p71300691/,False,iPhone 12 ,256GB,Black,MGJG3FS/A
iPhone 12 128GB Blue (MGJA3FS/A),,,https://eldorado.ua/uk/uk/smartfon-apple-i-phone-12-128-gb-blue/p71300686/,False,iPhone 12 ,128GB,Blue,MGJA3FS/A
iPhone 14 Pro Max 1TB Silver (MQC33RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-1tb-silver/p71419418/,False,iPhone 14 Pro Max,1TB,Silver,MQC33RX/A
iPhone 14 Plus 256GB Starlight (MQ553RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-256gb-starlight/p71419381/,False,iPhone 14 Plus,256GB,Starlight,MQ553RX/A
iPhone 14 Pro 512GB Deep Purple (MQ293RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-512gb-deep-purple/p71419400/,False,iPhone 14 Pro,512GB,Deep Purple,MQ293RX/A
iPhone 14 Pro Max 256GB Gold (MQ9W3RX/A),57499.0,UAH,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-256gb-gold/p71419411/,True,iPhone 14 Pro Max,256GB,Gold,MQ9W3RX/A
iPhone 14 Pro 512GB Space Black (MQ1M3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-512gb-space-black/p71419397/,False,iPhone 14 Pro,512GB,Space Black,MQ1M3RX/A
iPhone 13 mini 512GB Pink (MLKD3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-mini-512gb-pink/p71357096/,False,iPhone 13 mini,512GB,Pink,MLKD3
iPhone 13 Pro Max 256GB Sierra Blue (MLLE3),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-13-pro-max-256gb-sierra-blue/p71357119/,False,iPhone 13 Pro Max,256GB,Sierra Blue,MLLE3
iPhone 14 Pro 256GB Silver (MQ103RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-256gb-silver/p71419394/,False,iPhone 14 Pro,256GB,Silver,MQ103RX/A
iPhone 14 Pro 256GB Deep Purple (MQ1F3RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-256gb-deep-purple/p71419396/,False,iPhone 14 Pro,256GB,Deep Purple,MQ1F3RX/A
iPhone 14 Plus 128GB (PRODUCT)RED (MQ513RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-plus-128gb-product-red/p71419377/,False,iPhone 14 Plus,128GB,(PRODUCT)RED,MQ513RX/A
